Subject-Type	Subject-Type Count	Subject-Type Distinct Count	Property	Object-Type	Object-Type Count	Object-Type tDistinct_count
mold_res:\nzebrafishmine_CrossReference	3358586	3358586	mine_voc:\nhasDataSource	mold_res:\nzebrafishmine_DataSource	3358586	40
http://mo-ld.org/resource/zebrafishmine_CrossReference	3358586	3358586	mine_voc:\nhasIdentifier	mine_type:\nIdentifier	3358586	1873764
http://mo-ld.org/resource/zebrafishmine_CrossReference	3324720	3324720	mine_voc:\nhasLinkType	mine_type:\nLinkType	3324720	9
http://mo-ld.org/resource/zebrafishmine_CrossReference	3277023	3277023	mine_voc:\nhasBioEntity	mold_res:\nzebrafishmine_BioEntity	3277023	162765
http://mo-ld.org/resource/zebrafishmine_CrossReference	3277023	3277023	mine_voc:\nhasBioEntity	mold_res:\nzebrafishmine_SequenceFeature	3277023	162765
http://mo-ld.org/resource/zebrafishmine_BioEntity	3277023	162765	mine_voc:\nhasCrossReference	http://mo-ld.org/resource/zebrafishmine_CrossReference	3277023	3277023
http://mo-ld.org/resource/zebrafishmine_SequenceFeature	3277023	162765	mine_voc:\nhasCrossReference	http://mo-ld.org/resource/zebrafishmine_CrossReference	3277023	3277023
mold_res:\nzebrafishmine_OntologyRelation	2663004	1331502	mine_voc:\nhasOntologyTerm	mold_res:\nzebrafishmine_OntologyTerm	2663004	55993
http://mo-ld.org/resource/zebrafishmine_OntologyTerm	2663004	55993	mine_voc:\nhasOntologyRelation	http://mo-ld.org/resource/zebrafishmine_OntologyRelation	2663004	1331502
mold_res:\nzebrafishmine_OntologyRelation	2276568	1138284	mine_voc:\nhasOntologyTerm	mold_res:\nzebrafishmine_GOTerm	2276568	42428
http://mo-ld.org/resource/zebrafishmine_GOTerm	2276568	42428	mine_voc:\nhasOntologyRelation	http://mo-ld.org/resource/zebrafishmine_OntologyRelation	2276568	1138284
http://mo-ld.org/resource/zebrafishmine_CrossReference	1641769	1641769	mine_voc:\nhasBioEntity	mold_res:\nzebrafishmine_Gene	1641769	31245
http://mo-ld.org/resource/zebrafishmine_Gene	1641769	31245	mine_voc:\nhasCrossReference	http://mo-ld.org/resource/zebrafishmine_CrossReference	1641769	1641769
http://mo-ld.org/resource/zebrafishmine_CrossReference	1369068	1369068	mine_voc:\nhasBioEntity	mold_res:\nzebrafishmine_Reagent	1369068	53657
http://mo-ld.org/resource/zebrafishmine_Reagent	1369068	53657	mine_voc:\nhasCrossReference	http://mo-ld.org/resource/zebrafishmine_CrossReference	1369068	1369068
http://mo-ld.org/resource/zebrafishmine_CrossReference	1368084	1368084	mine_voc:\nhasBioEntity	mold_res:\nzebrafishmine_Clone	1368084	52679
http://mo-ld.org/resource/zebrafishmine_Clone	1368084	52679	mine_voc:\nhasCrossReference	http://mo-ld.org/resource/zebrafishmine_CrossReference	1368084	1368084
mold_res:\nzebrafishmine_OntologyRelation	1331502	1331502	mine_voc:\nhasDirect	mine_type:\nDirect	1331502	2
http://mo-ld.org/resource/zebrafishmine_OntologyRelation	1331502	1331502	mine_voc:\nhasRedundant	mine_type:\nRedundant	1331502	2
http://mo-ld.org/resource/zebrafishmine_OntologyRelation	1331502	1331502	mine_voc:\nhasRelationship	mine_type:\nRelationship	1331502	46
http://mo-ld.org/resource/zebrafishmine_CrossReference	1310175	1310175	mine_voc:\nhasBioEntity	mold_res:\nzebrafishmine_DNAClone	1310175	13793
http://mo-ld.org/resource/zebrafishmine_DNAClone	1310175	13793	mine_voc:\nhasCrossReference	http://mo-ld.org/resource/zebrafishmine_CrossReference	1310175	1310175
mold_res:\nzebrafishmine_BioEntity	688999	331237	mine_voc:\nhasDataSet	mold_res:\nzebrafishmine_DataSet	688999	31
http://mo-ld.org/resource/zebrafishmine_DataSet	688999	31	mine_voc:\nhasBioEntity	http://mo-ld.org/resource/zebrafishmine_BioEntity	688999	331237
mold_res:\nzebrafishmine_Expression	686377	312155	mine_voc:\nhasZFATerm	mold_res:\nzebrafishmine_AnatomyTerm	686377	1729
http://mo-ld.org/resource/zebrafishmine_Expression	686377	312155	mine_voc:\nhasZFATerm	http://mo-ld.org/resource/zebrafishmine_OntologyTerm	686377	1729
http://mo-ld.org/resource/zebrafishmine_Expression	686377	312155	mine_voc:\nhasZFATerm	mold_res:\nzebrafishmine_ZFATerm	686377	1729
mold_res:\nzebrafishmine_Synonym	671910	671910	mine_voc:\nhasDataSet	mold_res:\nzebrafishmine_DataSet	671910	3
http://mo-ld.org/resource/zebrafishmine_Synonym	671909	671909	mine_voc:\nhasValue	mine_type:\nValue	671909	509585
http://mo-ld.org/resource/zebrafishmine_Synonym	645747	645747	mine_voc:\nhasBioEntity	http://mo-ld.org/resource/zebrafishmine_BioEntity	645747	229405
http://mo-ld.org/resource/zebrafishmine_BioEntity	645747	229405	mine_voc:\nhasSynonym	http://mo-ld.org/resource/zebrafishmine_Synonym	645747	645747
mold_res:\nzebrafishmine_SequenceFeature	612068	254306	mine_voc:\nhasDataSet	http://mo-ld.org/resource/zebrafishmine_DataSet	612068	31
http://mo-ld.org/resource/zebrafishmine_DataSet	612068	31	mine_voc:\nhasBioEntity	http://mo-ld.org/resource/zebrafishmine_SequenceFeature	612068	254306
http://mo-ld.org/resource/zebrafishmine_Synonym	592488	592488	mine_voc:\nhasBioEntity	http://mo-ld.org/resource/zebrafishmine_SequenceFeature	592488	176146
http://mo-ld.org/resource/zebrafishmine_SequenceFeature	592488	176146	mine_voc:\nhasSynonym	http://mo-ld.org/resource/zebrafishmine_Synonym	592488	592488
mold_res:\nzebrafishmine_Publication	416271	13308	mine_voc:\nhasBioEntity	http://mo-ld.org/resource/zebrafishmine_BioEntity	416271	185374
http://mo-ld.org/resource/zebrafishmine_Publication	416271	13308	mine_voc:\nhasBioEntity	http://mo-ld.org/resource/zebrafishmine_SequenceFeature	416271	185374
http://mo-ld.org/resource/zebrafishmine_BioEntity	416271	185374	mine_voc:\nhasPublication	http://mo-ld.org/resource/zebrafishmine_Publication	416271	13308
http://mo-ld.org/resource/zebrafishmine_SequenceFeature	416271	185374	mine_voc:\nhasPublication	http://mo-ld.org/resource/zebrafishmine_Publication	416271	13308
http://mo-ld.org/resource/zebrafishmine_BioEntity	366837	22711	mine_voc:\nhasExpression	http://mo-ld.org/resource/zebrafishmine_Expression	366837	295547
http://mo-ld.org/resource/zebrafishmine_SequenceFeature	366837	22711	mine_voc:\nhasExpression	http://mo-ld.org/resource/zebrafishmine_Expression	366837	295547
http://mo-ld.org/resource/zebrafishmine_BioEntity	331154	331154	mine_voc:\nhasPrimaryIdentifier	mine_type:\nPrimaryIdentifier	331154	317857
mold_res:\nzebrafishmine_Expression	312155	312155	mine_voc:\nhasExpressionFound	mine_type:\nExpressionFound	312155	2
http://mo-ld.org/resource/zebrafishmine_Expression	312155	312155	mine_voc:\nhasAssay	mine_type:\nAssay	312155	13
http://mo-ld.org/resource/zebrafishmine_Expression	312155	312155	mine_voc:\nhasFish	mold_res:\nzebrafishmine_Fish	312155	12580
http://mo-ld.org/resource/zebrafishmine_Expression	312155	312155	mine_voc:\nhasFigure	mold_res:\nzebrafishmine_Figure	312155	56756
http://mo-ld.org/resource/zebrafishmine_Expression	312155	312155	mine_voc:\nhasPrimaryIdentifier	http://mo-ld.org/mine_type:PrimaryIdentifier	312155	312155
http://mo-ld.org/resource/zebrafishmine_Expression	312155	312155	mine_voc:\nhasPublication	http://mo-ld.org/resource/zebrafishmine_Publication	312155	6649
